,Sex, MaritalStatus, Age, Education, Occupation, YearsInSf, DualIncome, HouseholdMembers, Under18, HouseholdStatus, TypeOfHome, EthnicClass, Language,Class
25,2.0,3.0,4.0,5.0,1.0,4.0,1.0,5.0,3.0,1.0,1.0,7.0,1.0,6.0
26,2.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,7.0,1.0,8.0
27,2.0,5.0,1.0,2.0,6.0,5.0,1.0,4.0,2.0,3.0,1.0,7.0,1.0,1.0
28,2.0,5.0,1.0,2.0,6.0,5.0,1.0,3.0,1.0,3.0,1.0,7.0,1.0,1.0
29,1.0,5.0,1.0,2.0,6.0,5.0,1.0,6.0,4.0,3.0,1.0,7.0,1.0,1.0
30,2.0,1.0,7.0,3.0,5.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,2.0
31,2.0,1.0,4.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,8.0
32,1.0,1.0,5.0,6.0,1.0,5.0,2.0,4.0,0.0,1.0,1.0,7.0,1.0,9.0
33,2.0,3.0,4.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,5.0
34,2.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,2.0
35,1.0,5.0,1.0,2.0,6.0,5.0,1.0,5.0,2.0,3.0,1.0,7.0,1.0,1.0
36,2.0,1.0,4.0,4.0,1.0,5.0,2.0,5.0,3.0,1.0,1.0,7.0,1.0,8.0
37,2.0,1.0,5.0,4.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,8.0
38,2.0,5.0,2.0,2.0,6.0,2.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,2.0
39,2.0,1.0,6.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,7.0,1.0,6.0
40,2.0,1.0,5.0,4.0,5.0,5.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,8.0
41,2.0,1.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,5.0,1.0,6.0
42,2.0,5.0,1.0,111.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0,7.0,1.0,4.0
43,1.0,3.0,5.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,7.0
44,1.0,1.0,1.0,5.0,8.0,5.0,2.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0
45,1.0,1.0,4.0,6.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,9.0
46,2.0,1.0,4.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
47,2.0,1.0,6.0,6.0,5.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
48,2.0,3.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0
49,1.0,1.0,3.0,4.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,8.0
50,1.0,3.0,4.0,3.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,4.0
51,2.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,7.0,1.0,8.0
52,1.0,1.0,7.0,4.0,8.0,5.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,7.0
53,1.0,5.0,1.0,2.0,6.0,5.0,1.0,5.0,3.0,3.0,1.0,5.0,1.0,1.0
54,1.0,5.0,1.0,2.0,6.0,5.0,1.0,5.0,3.0,3.0,1.0,7.0,1.0,1.0
55,2.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,7.0
56,1.0,5.0,1.0,1.0,6.0,5.0,1.0,3.0,0.0,3.0,1.0,7.0,1.0,1.0
57,2.0,3.0,4.0,2.0,1.0,5.0,1.0,2.0,0.0,3.0,1.0,7.0,1.0,3.0
58,2.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,1.0,1.0,7.0,1.0,9.0
59,2.0,1.0,3.0,4.0,5.0,2.0,3.0,4.0,2.0,1.0,2.0,7.0,1.0,8.0
60,1.0,5.0,1.0,2.0,4.0,5.0,1.0,5.0,3.0,3.0,1.0,7.0,1.0,1.0
61,2.0,5.0,3.0,5.0,1.0,5.0,1.0,4.0,0.0,2.0,1.0,3.0,3.0,4.0
62,2.0,2.0,2.0,5.0,1.0,4.0,1.0,2.0,0.0,2.0,3.0,7.0,1.0,8.0
63,1.0,1.0,3.0,5.0,6.0,2.0,3.0,3.0,0.0,2.0,1.0,7.0,1.0,5.0
64,1.0,1.0,6.0,5.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
65,2.0,1.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,7.0,1.0,2.0
66,2.0,1.0,4.0,6.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,7.0,1.0,9.0
67,1.0,1.0,3.0,4.0,1.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,4.0
68,1.0,5.0,2.0,4.0,6.0,4.0,1.0,2.0,0.0,2.0,3.0,7.0,1.0,3.0
69,2.0,1.0,2.0,4.0,2.0,5.0,2.0,2.0,0.0,2.0,3.0,7.0,1.0,5.0
70,2.0,5.0,2.0,4.0,6.0,3.0,1.0,4.0,0.0,3.0,1.0,7.0,1.0,9.0
71,2.0,1.0,6.0,4.0,4.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
72,1.0,5.0,2.0,4.0,6.0,5.0,1.0,3.0,0.0,3.0,1.0,7.0,1.0,9.0
73,1.0,5.0,2.0,4.0,6.0,5.0,1.0,4.0,0.0,1.0,1.0,5.0,1.0,9.0
74,2.0,1.0,6.0,4.0,5.0,2.0,1.0,2.0,0.0,1.0,5.0,7.0,3.0,7.0
75,2.0,1.0,6.0,3.0,2.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
76,1.0,1.0,7.0,3.0,8.0,5.0,3.0,2.0,0.0,1.0,4.0,7.0,1.0,3.0
77,2.0,1.0,6.0,4.0,8.0,5.0,3.0,2.0,0.0,1.0,2.0,7.0,1.0,7.0
78,2.0,3.0,7.0,3.0,8.0,5.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,1.0
79,2.0,1.0,5.0,6.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,9.0
80,2.0,1.0,5.0,6.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,4.0,3.0,8.0
81,2.0,1.0,4.0,3.0,5.0,5.0,3.0,2.0,0.0,1.0,1.0,8.0,2.0,7.0
82,2.0,5.0,1.0,3.0,9.0,4.0,121.0,3.0,1.0,3.0,1.0,7.0,1.0,5.0
83,1.0,5.0,2.0,3.0,6.0,5.0,1.0,2.0,0.0,3.0,1.0,7.0,1.0,6.0
84,1.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,7.0,1.0,8.0
85,1.0,1.0,5.0,4.0,1.0,5.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,8.0
86,2.0,5.0,2.0,3.0,1.0,5.0,1.0,2.0,0.0,3.0,3.0,7.0,1.0,1.0
87,2.0,1.0,6.0,4.0,1.0,5.0,2.0,6.0,0.0,1.0,1.0,1.0,1.0,7.0
88,2.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,0.0,1.0,1.0,7.0,1.0,6.0
89,1.0,5.0,2.0,2.0,6.0,5.0,1.0,5.0,1.0,3.0,1.0,7.0,1.0,9.0
90,2.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0
91,2.0,1.0,7.0,4.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,5.0
92,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,7.0,1.0,3.0
93,1.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,6.0
94,2.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,9.0
95,2.0,2.0,5.0,4.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
96,2.0,1.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,8.0
97,2.0,3.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,2.0,2.0,7.0,1.0,6.0
98,2.0,1.0,5.0,6.0,4.0,5.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,4.0
99,2.0,1.0,5.0,5.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
100,1.0,5.0,1.0,1.0,9.0,5.0,1.0,5.0,3.0,3.0,1.0,5.0,1.0,1.0
101,2.0,1.0,5.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,7.0,1.0,8.0
102,2.0,1.0,6.0,4.0,1.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
103,2.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,9.0
104,2.0,5.0,1.0,2.0,6.0,3.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0
105,1.0,1.0,4.0,4.0,1.0,4.0,2.0,6.0,2.0,2.0,1.0,7.0,1.0,7.0
106,1.0,1.0,4.0,6.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,7.0,1.0,9.0
107,1.0,1.0,7.0,3.0,1.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,7.0
108,1.0,1.0,7.0,6.0,1.0,5.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,7.0
109,2.0,3.0,5.0,4.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,7.0
110,2.0,5.0,3.0,6.0,6.0,5.0,1.0,7.0,1.0,3.0,1.0,7.0,1.0,1.0
111,1.0,1.0,7.0,3.0,8.0,5.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,7.0
112,1.0,1.0,7.0,3.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,5.0
113,2.0,1.0,4.0,6.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,9.0
114,2.0,5.0,1.0,2.0,4.0,5.0,1.0,3.0,2.0,3.0,3.0,5.0,1.0,2.0
115,1.0,1.0,6.0,4.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
116,2.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,0.0,1.0,1.0,7.0,1.0,8.0
117,2.0,1.0,4.0,5.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
118,2.0,1.0,3.0,5.0,1.0,3.0,2.0,2.0,0.0,1.0,5.0,7.0,1.0,9.0
119,2.0,1.0,4.0,6.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,9.0
120,1.0,1.0,4.0,6.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,9.0
121,1.0,5.0,1.0,2.0,6.0,3.0,1.0,6.0,3.0,3.0,5.0,7.0,1.0,1.0
122,2.0,1.0,2.0,3.0,1.0,5.0,2.0,2.0,0.0,131.0,3.0,7.0,1.0,2.0
123,1.0,1.0,7.0,6.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,7.0,1.0,9.0
124,2.0,1.0,4.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,7.0,1.0,6.0
125,1.0,1.0,4.0,6.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,8.0
126,2.0,4.0,7.0,4.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0
127,1.0,5.0,1.0,2.0,6.0,4.0,1.0,3.0,0.0,3.0,2.0,5.0,1.0,1.0
128,2.0,1.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,1.0,7.0,1.0,6.0
129,1.0,5.0,4.0,4.0,2.0,5.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,5.0
130,2.0,4.0,5.0,4.0,8.0,2.0,1.0,2.0,0.0,2.0,3.0,7.0,1.0,7.0
131,1.0,5.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,7.0
132,1.0,1.0,7.0,4.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,5.0
133,2.0,5.0,3.0,4.0,3.0,5.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,2.0
134,2.0,5.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,7.0,1.0,2.0
135,2.0,4.0,7.0,5.0,8.0,5.0,1.0,1.0,1.0,2.0,3.0,7.0,1.0,4.0
136,2.0,1.0,6.0,5.0,2.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
137,2.0,1.0,4.0,6.0,5.0,4.0,3.0,5.0,3.0,1.0,1.0,7.0,3.0,8.0
138,1.0,1.0,7.0,5.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,4.0
139,2.0,5.0,3.0,4.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,5.0
140,2.0,5.0,2.0,4.0,6.0,5.0,1.0,4.0,0.0,3.0,1.0,7.0,1.0,4.0
141,2.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,7.0,1.0,9.0
142,2.0,3.0,7.0,6.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,7.0,1.0,3.0
143,1.0,5.0,3.0,4.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,6.0,1.0,8.0
144,1.0,5.0,3.0,5.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,7.0,1.0,7.0
145,1.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,7.0,3.0,7.0
146,1.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,7.0
147,2.0,1.0,3.0,5.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
148,2.0,5.0,1.0,2.0,6.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0
149,2.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
150,2.0,5.0,3.0,5.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,6.0
151,1.0,1.0,6.0,6.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
152,1.0,2.0,3.0,4.0,1.0,5.0,2.0,4.0,0.0,2.0,1.0,7.0,1.0,4.0
153,2.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,7.0,1.0,9.0
154,2.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,0.0,1.0,1.0,7.0,1.0,6.0
155,2.0,1.0,5.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0
156,1.0,1.0,4.0,6.0,1.0,5.0,2.0,2.0,0.0,1.0,2.0,7.0,1.0,8.0
157,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,5.0
158,2.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,5.0
159,1.0,5.0,2.0,5.0,4.0,3.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,2.0
160,1.0,1.0,4.0,1.0,2.0,5.0,2.0,3.0,1.0,2.0,3.0,5.0,1.0,6.0
161,2.0,5.0,2.0,3.0,6.0,5.0,1.0,3.0,0.0,3.0,1.0,7.0,1.0,8.0
162,141.0,5.0,2.0,3.0,6.0,5.0,1.0,6.0,0.0,2.0,5.0,7.0,1.0,8.0
163,2.0,3.0,4.0,6.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,7.0
164,2.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,9.0
165,2.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,6.0
166,1.0,1.0,7.0,5.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
167,1.0,5.0,1.0,1.0,6.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0
168,1.0,1.0,6.0,4.0,1.0,5.0,2.0,3.0,0.0,1.0,1.0,7.0,1.0,8.0
169,1.0,3.0,5.0,3.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,7.0,1.0,7.0
170,1.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,7.0,1.0,9.0
171,1.0,1.0,6.0,5.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
172,1.0,1.0,6.0,6.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,8.0
173,2.0,2.0,3.0,4.0,3.0,5.0,1.0,2.0,0.0,2.0,3.0,7.0,1.0,6.0
174,1.0,1.0,3.0,4.0,3.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,7.0
175,1.0,1.0,6.0,6.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
176,1.0,5.0,2.0,3.0,1.0,5.0,1.0,3.0,0.0,2.0,2.0,7.0,1.0,8.0
177,1.0,1.0,5.0,6.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,8.0
178,1.0,5.0,1.0,2.0,4.0,5.0,1.0,4.0,2.0,3.0,1.0,7.0,1.0,9.0
179,1.0,1.0,6.0,5.0,1.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
180,1.0,1.0,7.0,4.0,8.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
181,1.0,1.0,6.0,4.0,1.0,5.0,2.0,2.0,0.0,2.0,1.0,7.0,1.0,9.0
182,1.0,5.0,3.0,4.0,6.0,5.0,1.0,4.0,0.0,2.0,1.0,7.0,1.0,4.0
183,1.0,5.0,2.0,4.0,3.0,5.0,1.0,3.0,0.0,3.0,1.0,7.0,1.0,9.0
184,1.0,1.0,5.0,6.0,1.0,5.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0,8.0
185,1.0,5.0,3.0,6.0,1.0,5.0,1.0,2.0,0.0,2.0,3.0,7.0,1.0,5.0
186,1.0,1.0,5.0,3.0,8.0,5.0,2.0,3.0,0.0,1.0,1.0,7.0,1.0,7.0
187,2.0,1.0,7.0,4.0,8.0,5.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,9.0
188,1.0,1.0,4.0,6.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,9.0
189,1.0,1.0,7.0,5.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,5.0
190,1.0,1.0,6.0,4.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,8.0
191,1.0,1.0,4.0,5.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,9.0
192,1.0,1.0,4.0,6.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
193,1.0,1.0,4.0,6.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,8.0
194,1.0,1.0,3.0,6.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,9.0
195,1.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,0.0,2.0,3.0,7.0,1.0,4.0
196,1.0,1.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,7.0,1.0,9.0
197,1.0,1.0,6.0,5.0,8.0,5.0,2.0,4.0,0.0,1.0,1.0,7.0,1.0,7.0
198,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,7.0,1.0,7.0
199,1.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,8.0
200,1.0,1.0,5.0,4.0,1.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
201,1.0,3.0,4.0,6.0,9.0,3.0,1.0,1.0,0.0,2.0,1.0,7.0,1.0,1.0
202,1.0,3.0,7.0,151.0,8.0,5.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,2.0
203,1.0,1.0,7.0,3.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,6.0
204,2.0,5.0,2.0,4.0,1.0,5.0,1.0,6.0,1.0,3.0,1.0,7.0,1.0,3.0
205,1.0,1.0,4.0,4.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,7.0,1.0,8.0
206,1.0,5.0,2.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,7.0,1.0,5.0
207,2.0,3.0,6.0,4.0,5.0,5.0,1.0,4.0,0.0,1.0,1.0,7.0,1.0,6.0
208,2.0,1.0,3.0,4.0,2.0,5.0,2.0,3.0,1.0,2.0,3.0,7.0,1.0,6.0
209,2.0,3.0,4.0,6.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,7.0,1.0,8.0
210,1.0,1.0,3.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,7.0,1.0,6.0
211,2.0,5.0,7.0,6.0,8.0,5.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,1.0
212,2.0,1.0,5.0,4.0,5.0,5.0,2.0,5.0,1.0,1.0,1.0,7.0,1.0,8.0
213,2.0,1.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,7.0
214,2.0,1.0,3.0,4.0,5.0,4.0,3.0,5.0,0.0,2.0,1.0,7.0,1.0,5.0
215,2.0,1.0,4.0,5.0,2.0,5.0,2.0,4.0,1.0,1.0,1.0,7.0,1.0,9.0
216,2.0,5.0,3.0,5.0,1.0,5.0,1.0,1.0,0.0,2.0,2.0,7.0,1.0,6.0
217,2.0,1.0,6.0,4.0,8.0,5.0,3.0,3.0,0.0,1.0,1.0,7.0,1.0,4.0
218,2.0,1.0,3.0,5.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,8.0
219,1.0,5.0,2.0,4.0,6.0,5.0,1.0,3.0,0.0,3.0,1.0,7.0,1.0,3.0
220,1.0,1.0,4.0,4.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,7.0,1.0,7.0
221,2.0,1.0,3.0,5.0,1.0,5.0,2.0,4.0,2.0,1.0,1.0,8.0,3.0,9.0
222,1.0,5.0,2.0,4.0,2.0,5.0,1.0,3.0,0.0,3.0,1.0,7.0,1.0,9.0
223,1.0,5.0,2.0,2.0,4.0,2.0,1.0,4.0,0.0,3.0,1.0,7.0,1.0,9.0
224,1.0,5.0,2.0,2.0,6.0,2.0,1.0,4.0,0.0,3.0,1.0,7.0,1.0,1.0
225,1.0,5.0,3.0,5.0,1.0,5.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
226,1.0,1.0,3.0,5.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
227,2.0,5.0,2.0,4.0,6.0,3.0,1.0,5.0,2.0,1.0,1.0,7.0,1.0,1.0
228,1.0,5.0,2.0,3.0,6.0,4.0,1.0,3.0,0.0,2.0,1.0,7.0,1.0,5.0
229,2.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
230,2.0,1.0,6.0,5.0,7.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,4.0
231,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,3.0
232,1.0,1.0,5.0,6.0,1.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,9.0
233,1.0,1.0,7.0,5.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,7.0
234,1.0,5.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,7.0,3.0,1.0
235,1.0,5.0,1.0,3.0,6.0,5.0,1.0,4.0,2.0,3.0,1.0,7.0,1.0,1.0
236,2.0,2.0,3.0,2.0,4.0,5.0,1.0,2.0,0.0,1.0,2.0,7.0,1.0,7.0
237,1.0,5.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,7.0,1.0,8.0
