,Parents, Has_nurs, Form, Children, Housing, Finance, Social, Health,Class
96,1,1,1,3,1,1,2,1, very_recom
97,1,1,1,3,1,1,2,3, priority
98,1,1,1,3,1,1,2,2, not_recom
99,1,1,1,3,1,1,3,1, priority
100,1,1,1,3,1,1,3,3, priority
101,1,1,1,3,1,1,3,2, not_recom
102,151,1,1,3,1,2,1,1, priority
103,1,1,1,3,1,2,1,3, priority
104,1,1,1,3,1,2,1,2, not_recom
105,1,1,3,1,1,2,3,1, priority
106,1,1,1,3,1,2,2,3, priority
107,1,1,1,3,1,2,2,2, not_recom
108,1,1,1,3,1,2,3,1, priority
109,1,1,1,3,1,2,3,3, priority
110,1,1,1,3,1,2,3,2, not_recom
111,1,1,1,3,2,1,1,1, priority
112,1,1,1,3,2,1,1,3, priority
113,1,1,1,3,2,1,1,2, not_recom
114,1,1,1,3,2,1,2,1, priority
115,1,1,1,3,2,1,2,3, priority
116,1,1,1,3,2,1,2,2, not_recom
117,1,1,1,3,2,1,3,1, priority
118,1,1,1,3,2,1,3,3, priority
119,1,1,1,3,2,2,1,1, priority
120,1,1,1,3,2,2,1,3, priority
121,1,1,1,3,2,2,1,2, not_recom
122,1,1,1,161,2,2,2,1, priority
123,1,1,1,3,2,2,2,3, priority
124,1,1,1,3,2,2,2,2, not_recom
125,1,1,3,3,3,1,3,3, priority
126,1,1,1,3,2,2,3,3, priority
127,1,1,1,3,2,2,3,2, not_recom
128,1,1,1,3,3,1,1,1, priority
129,1,1,1,3,3,1,1,3, priority
130,1,1,1,3,3,1,1,2, not_recom
131,1,1,1,3,3,1,2,1, priority
132,1,1,1,3,3,1,2,3, priority
133,1,1,1,3,3,1,2,2, not_recom
134,1,1,1,3,3,1,3,1, priority
135,1,1,1,3,3,1,3,3, priority
136,1,1,1,3,3,1,3,2, not_recom
137,1,1,1,3,3,2,1,1, priority
138,1,1,1,3,3,2,1,3, priority
139,1,1,1,3,3,2,1,2, not_recom
140,1,1,1,3,3,2,2,1, priority
141,1,1,1,3,3,2,2,3, priority
142,1,1,1,3,3,2,171,2, not_recom
143,1,1,1,3,3,2,3,1, priority
144,1,1,1,3,3,2,3,3, priority
145,1,2,1,2,1,2,2,1, very_recom
146,1,1,1,10,1,1,1,3, priority
147,1,1,1,10,1,1,2,1, very_recom
148,1,1,1,10,1,1,2,3, priority
149,1,1,1,10,1,1,2,2, not_recom
150,1,1,1,10,1,1,3,1, priority
151,1,1,1,10,1,1,3,3, priority
152,1,1,1,10,1,1,3,2, not_recom
153,1,1,1,10,1,2,1,1, priority
154,1,1,1,10,1,2,1,2, not_recom
155,1,1,1,10,1,2,2,3, priority
156,1,1,1,10,1,2,2,2, not_recom
157,1,1,1,10,1,2,3,1, priority
158,1,1,1,10,1,2,3,3, priority
159,1,1,1,10,1,2,3,2, not_recom
160,1,1,1,10,2,1,1,1, priority
161,1,1,1,10,2,1,1,3, priority
162,181,1,1,10,2,1,1,2, not_recom
163,1,1,1,10,2,1,2,1, priority
164,1,1,1,10,2,1,2,3, priority
165,1,2,1,10,3,1,1,3, priority
166,1,1,1,10,2,1,3,1, priority
167,1,1,1,10,2,1,3,2, not_recom
168,1,1,1,10,2,2,1,1, priority
169,1,1,1,10,2,2,1,3, priority
170,1,1,1,10,2,2,1,2, not_recom
171,1,1,1,10,2,2,2,3, priority
172,1,1,1,10,2,2,2,2, not_recom
173,1,1,1,10,2,2,3,1, priority
174,1,1,1,10,2,2,3,3, priority
175,1,1,1,10,2,2,3,2, not_recom
176,1,1,1,10,3,1,1,1, priority
177,1,1,1,10,3,1,1,2, not_recom
178,1,1,1,10,3,1,2,1, priority
179,1,1,1,10,3,1,2,3, priority
180,1,1,1,10,3,1,2,2, not_recom
181,1,1,1,10,3,1,3,1, priority
182,1,1,1,191,3,1,3,3, priority
183,1,1,1,10,3,1,3,2, not_recom
184,1,1,1,10,3,2,1,1, priority
185,1,2,5,3,1,1,3,1, priority
186,1,1,1,10,3,2,1,2, not_recom
187,1,1,1,10,3,2,2,1, priority
188,1,1,1,10,3,2,2,3, priority
189,1,1,1,10,3,2,2,2, not_recom
190,1,1,1,10,3,2,3,1, priority
191,1,1,1,10,3,2,3,3, priority
192,1,1,1,10,3,2,3,2, not_recom
193,1,1,5,1,1,1,1,1, very_recom
194,1,1,5,1,1,1,1,3, priority
195,1,1,5,1,1,1,1,2, not_recom
196,1,1,5,1,1,1,2,1, very_recom
197,1,1,5,1,1,1,2,3, priority
198,1,1,5,1,1,1,2,2, not_recom
199,1,1,5,1,1,1,3,1, priority
200,1,1,5,1,1,1,3,3, priority
201,1,1,5,1,1,1,3,2, not_recom
202,1,1,5,1,1,2,201,1, very_recom
203,1,1,5,1,1,2,1,3, priority
204,1,1,5,1,1,2,1,2, not_recom
205,1,2,2,1,2,2,2,2, not_recom
206,1,1,5,1,1,2,2,2, not_recom
207,1,1,5,1,1,2,3,1, priority
208,1,1,5,1,1,2,3,3, priority
209,1,1,5,1,1,2,3,2, not_recom
210,1,1,5,1,2,1,1,3, priority
211,1,1,5,1,2,1,1,2, not_recom
212,1,1,5,1,2,1,2,1, very_recom
213,1,1,5,1,2,1,2,3, priority
214,1,1,5,1,2,1,2,2, not_recom
215,1,1,5,1,2,1,3,3, priority
216,1,1,5,1,2,1,3,2, not_recom
217,1,1,5,1,2,2,1,1, very_recom
218,1,1,5,1,2,2,1,3, priority
219,1,1,5,1,2,2,1,2, not_recom
220,1,1,5,1,2,2,2,1, very_recom
221,1,1,5,1,2,2,2,3, priority
222,211,1,5,1,2,2,2,2, not_recom
223,1,1,5,1,2,2,3,1, priority
224,1,1,5,1,3,1,1,1, priority
225,1,2,2,10,1,1,3,1, priority
226,1,1,5,1,3,1,1,2, not_recom
227,1,1,5,1,3,1,2,1, priority
228,1,1,5,1,3,1,2,3, priority
229,1,1,5,1,3,1,2,2, not_recom
230,1,1,5,1,3,1,3,1, priority
231,1,1,5,1,3,1,3,3, priority
232,1,1,5,1,3,2,1,1, priority
233,1,1,5,1,3,2,1,3, priority
234,1,1,5,1,3,2,1,2, not_recom
235,1,1,5,1,3,2,2,1, priority
236,1,1,5,1,3,2,2,3, priority
237,1,1,5,1,3,2,2,2, not_recom
238,1,1,5,1,3,2,3,1, priority
239,1,1,5,1,3,2,3,3, priority
240,1,1,5,1,3,2,3,2, not_recom
241,1,1,5,2,1,1,1,1, very_recom
242,1,1,5,221,1,1,1,3, priority
243,1,1,5,2,1,1,1,2, not_recom
244,1,1,5,2,1,1,2,1, very_recom
245,1,2,3,2,2,2,3,1, priority
246,1,1,5,2,1,1,2,2, not_recom
247,1,1,5,2,1,1,3,1, priority
248,1,1,5,2,1,1,3,3, priority
249,1,1,5,2,1,1,3,2, not_recom
250,1,1,5,2,1,2,1,1, very_recom
251,1,1,5,2,1,2,1,3, priority
252,1,1,5,2,1,2,1,2, not_recom
253,1,1,5,2,1,2,2,1, very_recom
254,1,1,5,2,1,2,2,3, priority
255,1,1,5,2,1,2,2,2, not_recom
256,1,1,5,2,1,2,3,1, priority
257,1,1,5,2,1,2,3,3, priority
258,1,1,5,2,1,2,3,2, not_recom
259,1,1,5,2,2,1,1,1, very_recom
260,1,1,5,2,2,1,1,3, priority
261,1,1,5,2,2,1,1,2, not_recom
262,1,1,5,2,2,1,231,1, very_recom
263,1,1,5,2,2,1,2,3, priority
264,1,1,5,2,2,1,2,2, not_recom
265,1,3,1,1,1,1,2,2, not_recom
266,1,1,5,2,2,1,3,3, priority
267,1,1,5,2,2,1,3,2, not_recom
268,1,1,5,2,2,2,1,1, very_recom
269,1,1,5,2,2,2,1,2, not_recom
270,1,1,5,2,2,2,2,1, very_recom
271,1,1,5,2,2,2,2,3, priority
272,1,1,5,2,2,2,2,2, not_recom
273,1,1,5,2,2,2,3,1, priority
274,1,1,5,2,2,2,3,3, priority
275,1,1,5,2,2,2,3,2, not_recom
276,1,1,5,2,3,1,1,1, priority
277,1,1,5,2,3,1,1,3, priority
278,1,1,5,2,3,1,1,2, not_recom
279,1,1,5,2,3,1,2,1, priority
280,1,1,5,2,3,1,2,3, priority
281,1,1,5,2,3,1,2,2, not_recom
282,241,1,5,2,3,1,3,1, priority
283,1,1,5,2,3,1,3,3, priority
284,1,1,5,2,3,2,1,1, priority
285,1,3,1,3,2,2,1,2, not_recom
286,1,1,5,2,3,2,1,2, not_recom
287,1,1,5,2,3,2,2,1, priority
288,1,1,5,2,3,2,2,3, priority
289,1,1,5,2,3,2,2,2, not_recom
290,1,1,5,2,3,2,3,1, priority
291,1,1,5,2,3,2,3,3, priority
292,1,1,5,2,3,2,3,2, not_recom
293,1,1,5,3,1,1,1,1, very_recom
294,1,1,5,3,1,1,1,3, priority
295,1,1,5,3,1,1,1,2, not_recom
296,1,1,5,3,1,1,2,1, very_recom
297,1,1,5,3,1,1,2,3, priority
298,1,1,5,3,1,1,2,2, not_recom
299,1,1,5,3,1,1,3,1, priority
300,1,1,5,3,1,1,3,3, priority
301,1,1,5,3,1,1,3,2, not_recom
302,1,1,5,251,1,2,1,1, priority
303,1,1,5,3,1,2,1,3, priority
304,1,1,5,3,1,2,1,2, not_recom
305,1,3,5,2,1,1,2,3, priority
306,1,1,5,3,1,2,2,3, priority
307,1,1,5,3,1,2,2,2, not_recom
308,1,1,5,3,1,2,3,1, priority
309,1,1,5,3,1,2,3,3, priority
310,1,1,5,3,1,2,3,2, not_recom
311,1,1,5,3,2,1,1,1, priority
312,1,1,5,3,2,1,1,3, priority
313,1,1,5,3,2,1,1,2, not_recom
314,1,1,5,3,2,1,2,1, priority
315,1,1,5,3,2,1,2,3, priority
316,1,1,5,3,2,1,3,1, priority
317,1,1,5,3,2,1,3,3, priority
318,1,1,5,3,2,1,3,2, not_recom
319,1,1,5,3,2,2,1,1, priority
320,1,1,5,3,2,2,1,3, priority
321,1,1,5,3,2,2,1,2, not_recom
322,1,1,5,3,2,2,261,1, priority
323,1,1,5,3,2,2,2,3, priority
324,1,1,5,3,2,2,2,2, not_recom
325,1,3,5,10,2,2,1,3, priority
326,1,1,5,3,2,2,3,3, priority
327,1,1,5,3,2,2,3,2, not_recom
328,1,1,5,3,3,1,1,1, priority
329,1,1,5,3,3,1,1,3, priority
330,1,1,5,3,3,1,1,2, not_recom
331,1,1,5,3,3,1,2,1, priority
332,1,1,5,3,3,1,2,2, not_recom
333,1,1,5,3,3,1,3,1, priority
334,1,1,5,3,3,1,3,3, priority
335,1,1,5,3,3,1,3,2, not_recom
336,1,1,5,3,3,2,1,1, priority
337,1,1,5,3,3,2,1,3, priority
338,1,1,5,3,3,2,1,2, not_recom
339,1,1,5,3,3,2,2,1, priority
340,1,1,5,3,3,2,2,3, priority
341,1,1,5,3,3,2,2,2, not_recom
342,271,1,5,3,3,2,3,1, priority
343,1,1,5,3,3,2,3,2, not_recom
344,1,1,5,10,1,1,1,1, very_recom
345,1,3,2,2,3,2,3,2, not_recom
346,1,1,5,10,1,1,2,1, very_recom
347,1,1,5,10,1,1,2,3, priority
348,1,1,5,10,1,1,3,1, priority
349,1,1,5,10,1,1,3,3, priority
350,1,1,5,10,1,1,3,2, not_recom
351,1,1,5,10,1,2,1,3, priority
352,1,1,5,10,1,2,1,2, not_recom
353,1,1,5,10,1,2,2,1, priority
354,1,1,5,10,1,2,2,3, priority
355,1,1,5,10,1,2,2,2, not_recom
356,1,1,5,10,1,2,3,1, priority
357,1,1,5,10,1,2,3,3, priority
358,1,1,5,10,1,2,3,2, not_recom
359,1,1,5,10,2,1,1,1, priority
360,1,1,5,10,2,1,1,3, priority
361,1,1,5,10,2,1,1,2, not_recom
362,1,1,5,281,2,1,2,1, priority
363,1,1,5,10,2,1,2,3, priority
364,1,1,5,10,2,1,2,2, not_recom
365,1,3,3,1,2,2,2,1, priority
366,1,1,5,10,2,1,3,3, priority
367,1,1,5,10,2,1,3,2, not_recom
368,1,1,5,10,2,2,1,1, priority
369,1,1,5,10,2,2,1,3, priority
370,1,1,5,10,2,2,1,2, not_recom
371,1,1,5,10,2,2,2,1, priority
372,1,1,5,10,2,2,2,3, priority
373,1,1,5,10,2,2,3,1, priority
374,1,1,5,10,2,2,3,3, priority
375,1,1,5,10,2,2,3,2, not_recom
376,1,1,5,10,3,1,1,1, priority
377,1,1,5,10,3,1,1,3, priority
378,1,1,5,10,3,1,1,2, not_recom
379,1,1,5,10,3,1,2,1, priority
380,1,1,5,10,3,1,2,3, priority
381,1,1,5,10,3,1,3,1, priority
382,1,1,5,10,3,1,291,3, priority
383,1,1,5,10,3,1,3,2, not_recom
384,1,1,5,10,3,2,1,1, priority
385,1,3,3,3,3,2,2,2, not_recom
386,1,1,5,10,3,2,1,2, not_recom
387,1,1,5,10,3,2,2,1, priority
388,1,1,5,10,3,2,2,3, priority
389,1,1,5,10,3,2,3,3, priority
390,1,1,5,10,3,2,3,2, not_recom
391,1,1,2,1,1,1,1,1, very_recom
392,1,1,2,1,1,1,1,2, not_recom
393,1,1,2,1,1,1,2,1, very_recom
394,1,1,2,1,1,1,2,3, priority
395,1,1,2,1,1,1,2,2, not_recom
396,1,1,2,1,1,1,3,1, priority
397,1,1,2,1,1,1,3,3, priority
398,1,1,2,1,1,1,3,2, not_recom
399,1,1,2,1,1,2,1,1, very_recom
400,1,1,2,1,1,2,1,3, priority
401,1,1,2,1,1,2,1,2, not_recom
402,301,1,2,1,1,2,2,1, very_recom
403,1,1,2,1,1,2,2,3, priority
404,1,1,2,1,1,2,2,2, not_recom
405,1,4,1,2,1,2,3,3, priority
406,1,1,2,1,1,2,3,3, priority
407,1,1,2,1,1,2,3,2, not_recom
408,1,1,2,1,2,1,1,1, very_recom
409,1,1,2,1,2,1,1,3, priority
410,1,1,2,1,2,1,1,2, not_recom
411,1,1,2,1,2,1,2,1, very_recom
412,1,1,2,1,2,1,2,3, priority
413,1,1,2,1,2,1,2,2, not_recom
414,1,1,2,1,2,1,3,3, priority
415,1,1,2,1,2,2,1,1, very_recom
416,1,1,2,1,2,2,1,3, priority
417,1,1,2,1,2,2,1,2, not_recom
418,1,1,2,1,2,2,2,1, very_recom
419,1,1,2,1,2,2,2,3, priority
420,1,1,2,1,2,2,2,2, not_recom
421,1,1,2,1,2,2,3,1, priority
422,1,1,2,311,2,2,3,3, priority
423,1,1,2,1,2,2,3,2, not_recom
424,1,1,2,1,3,1,1,1, priority
425,1,4,1,10,3,1,2,2, not_recom
426,1,1,2,1,3,1,1,2, not_recom
427,1,1,2,1,3,1,2,1, priority
428,1,1,2,1,3,1,2,3, priority
429,1,1,2,1,3,1,2,2, not_recom
430,1,1,2,1,3,1,3,1, priority
431,1,1,2,1,3,1,3,3, priority
432,1,1,2,1,3,2,1,1, priority
433,1,1,2,1,3,2,1,3, priority
434,1,1,2,1,3,2,1,2, not_recom
435,1,1,2,1,3,2,2,1, priority
436,1,1,2,1,3,2,2,2, not_recom
437,1,1,2,1,3,2,3,1, priority
438,1,1,2,1,3,2,3,3, priority
439,1,1,2,1,3,2,3,2, not_recom
440,1,1,2,2,1,1,1,1, very_recom
441,1,1,2,2,1,1,1,3, priority
442,1,1,2,2,1,1,321,2, not_recom
443,1,1,2,2,1,1,2,1, very_recom
444,1,1,2,2,1,1,2,3, priority
445,1,4,5,3,1,2,3,3, spec_prior
446,1,1,2,2,1,1,3,1, priority
447,1,1,2,2,1,1,3,3, priority
448,1,1,2,2,1,1,3,2, not_recom
449,1,1,2,2,1,2,1,3, priority
450,1,1,2,2,1,2,1,2, not_recom
451,1,1,2,2,1,2,2,1, priority
452,1,1,2,2,1,2,2,3, priority
453,1,1,2,2,1,2,2,2, not_recom
454,1,1,2,2,1,2,3,1, priority
455,1,1,2,2,1,2,3,3, priority
456,1,1,2,2,1,2,3,2, not_recom
457,1,1,2,2,2,1,1,1, priority
458,1,1,2,2,2,1,1,3, priority
459,1,1,2,2,2,1,1,2, not_recom
460,1,1,2,2,2,1,2,1, priority
461,1,1,2,2,2,1,2,3, priority
462,331,1,2,2,2,1,2,2, not_recom
463,1,1,2,2,2,1,3,1, priority
464,1,1,2,2,2,2,1,1, priority
465,1,4,2,1,3,1,3,1, spec_prior
466,1,1,2,2,2,2,2,1, priority
467,1,1,2,2,2,2,2,3, priority
468,1,1,2,2,2,2,2,2, not_recom
469,1,1,2,2,2,2,3,1, priority
470,1,1,2,2,2,2,3,3, priority
471,1,1,2,2,2,2,3,2, not_recom
472,1,1,2,2,3,1,1,3, priority
473,1,1,2,2,3,1,1,2, not_recom
474,1,1,2,2,3,1,2,1, priority
475,1,1,2,2,3,1,2,3, priority
476,1,1,2,2,3,1,2,2, not_recom
477,1,1,2,2,3,1,3,1, priority
478,1,1,2,2,3,1,3,3, priority
479,1,1,2,2,3,1,3,2, not_recom
480,1,1,2,2,3,2,1,1, priority
481,1,1,2,2,3,2,1,3, priority
482,1,1,2,341,3,2,1,2, not_recom
483,1,1,2,2,3,2,2,1, priority
484,1,1,2,2,3,2,2,3, priority
485,1,4,2,10,1,2,2,2, not_recom
486,1,1,2,2,3,2,3,3, priority
487,1,1,2,2,3,2,3,2, not_recom
488,1,1,2,3,1,1,1,1, very_recom
489,1,1,2,3,1,1,1,3, priority
490,1,1,2,3,1,1,1,2, not_recom
491,1,1,2,3,1,1,2,1, very_recom
492,1,1,2,3,1,1,2,3, priority
493,1,1,2,3,1,1,2,2, not_recom
494,1,1,2,3,1,1,3,1, priority
495,1,1,2,3,1,1,3,3, priority
496,1,1,2,3,1,1,3,2, not_recom
497,1,1,2,3,1,2,1,1, priority
498,1,1,2,3,1,2,1,3, priority
499,1,1,2,3,1,2,1,2, not_recom
500,1,1,2,3,1,2,2,1, priority
501,1,1,2,3,1,2,2,3, priority
502,1,1,2,3,1,2,351,2, not_recom
503,1,1,2,3,1,2,3,1, priority
504,1,1,2,3,1,2,3,3, priority
505,1,4,3,2,2,2,3,3, spec_prior
506,1,1,2,3,2,1,1,1, priority
507,1,1,2,3,2,1,1,3, priority
508,1,1,2,3,2,1,2,1, priority
509,1,1,2,3,2,1,2,3, priority
510,1,1,2,3,2,1,2,2, not_recom
511,1,1,2,3,2,1,3,1, priority
512,1,1,2,3,2,1,3,2, not_recom
513,1,1,2,3,2,2,1,1, priority
514,1,1,2,3,2,2,1,3, priority
515,1,1,2,3,2,2,1,2, not_recom
516,1,1,2,3,2,2,2,1, priority
517,1,1,2,3,2,2,2,3, priority
518,1,1,2,3,2,2,2,2, not_recom
519,1,1,2,3,2,2,3,1, priority
520,1,1,2,3,2,2,3,3, priority
521,1,1,2,3,3,1,1,1, priority
522,361,1,2,3,3,1,1,3, priority
523,1,1,2,3,3,1,1,2, not_recom
524,1,1,2,3,3,1,2,1, priority
525,1,5,1,1,1,2,2,1, priority
526,1,1,2,3,3,1,2,2, not_recom
527,1,1,2,3,3,1,3,1, priority
528,1,1,2,3,3,1,3,3, priority
529,1,1,2,3,3,2,1,1, priority
530,1,1,2,3,3,2,1,3, priority
531,1,1,2,3,3,2,1,2, not_recom
532,1,1,2,3,3,2,2,1, priority
533,1,1,2,3,3,2,2,3, priority
534,1,1,2,3,3,2,2,2, not_recom
535,1,1,2,3,3,2,3,1, priority
536,1,1,2,3,3,2,3,3, priority
537,1,1,2,3,3,2,3,2, not_recom
538,1,1,2,10,1,1,1,1, very_recom
539,1,1,2,10,1,1,1,3, priority
540,1,1,2,10,1,1,1,2, not_recom
541,1,1,2,10,1,1,2,1, very_recom
542,1,1,2,371,1,1,2,3, priority
543,1,1,2,10,1,1,2,2, not_recom
544,1,1,2,10,1,1,3,3, priority
545,1,5,1,3,2,2,3,2, not_recom
546,1,1,2,10,1,2,1,1, priority
547,1,1,2,10,1,2,1,3, priority
548,1,1,2,10,1,2,2,1, priority
549,1,1,2,10,1,2,2,3, priority
550,1,1,2,10,1,2,2,2, not_recom
551,1,1,2,10,1,2,3,1, priority
552,1,1,2,10,1,2,3,3, priority
553,1,1,2,10,1,2,3,2, not_recom
554,1,1,2,10,2,1,1,1, priority
555,1,1,2,10,2,1,1,3, priority
556,1,1,2,10,2,1,1,2, not_recom
557,1,1,2,10,2,1,2,1, priority
558,1,1,2,10,2,1,2,2, not_recom
559,1,1,2,10,2,1,3,1, priority
560,1,1,2,10,2,1,3,3, priority
561,1,1,2,10,2,1,3,2, not_recom
562,1,1,2,10,2,2,381,1, priority
563,1,1,2,10,2,2,1,3, priority
564,1,1,2,10,2,2,1,2, not_recom
565,1,5,5,2,1,2,2,3, spec_prior
566,1,1,2,10,2,2,2,3, priority
567,1,1,2,10,2,2,2,2, not_recom
568,1,1,2,10,2,2,3,1, priority
569,1,1,2,10,2,2,3,3, priority
570,1,1,2,10,2,2,3,2, not_recom
571,1,1,2,10,3,1,1,1, priority
572,1,1,2,10,3,1,1,3, priority
573,1,1,2,10,3,1,2,1, priority
574,1,1,2,10,3,1,2,3, priority
575,1,1,2,10,3,1,2,2, not_recom
576,1,1,2,10,3,1,3,1, priority
577,1,1,2,10,3,1,3,3, priority
578,1,1,2,10,3,1,3,2, not_recom
579,1,1,2,10,3,2,1,1, priority
580,1,1,2,10,3,2,1,3, priority
581,1,1,2,10,3,2,2,3, priority
582,391,1,2,10,3,2,2,2, not_recom
583,1,1,2,10,3,2,3,1, priority
584,1,1,2,10,3,2,3,3, priority
585,1,5,5,10,3,1,2,2, not_recom
586,1,1,3,1,1,1,1,1, very_recom
587,1,1,3,1,1,1,1,3, priority
588,1,1,3,1,1,1,1,2, not_recom
589,1,1,3,1,1,1,2,1, very_recom
590,1,1,3,1,1,1,2,3, priority
591,1,1,3,1,1,1,2,2, not_recom
592,1,1,3,1,1,1,3,1, priority
593,1,1,3,1,1,1,3,3, priority
594,1,1,3,1,1,2,1,1, priority
595,1,1,3,1,1,2,1,3, priority
596,1,1,3,1,1,2,1,2, not_recom
597,1,1,3,1,1,2,2,1, priority
598,1,1,3,1,1,2,2,3, priority
599,1,1,3,1,1,2,2,2, not_recom
600,1,1,3,1,1,2,3,1, priority
601,1,1,3,1,1,2,3,3, priority
602,1,1,3,401,1,2,3,2, not_recom
603,1,1,3,1,2,1,1,1, priority
604,1,1,3,1,2,1,1,3, priority
605,1,5,2,3,1,2,1,1, spec_prior
606,1,1,3,1,2,1,2,1, priority
607,1,1,3,1,2,1,2,3, priority
608,1,1,3,1,2,1,3,1, priority
609,1,1,3,1,2,1,3,3, priority
610,1,1,3,1,2,1,3,2, not_recom
611,1,1,3,1,2,2,1,1, priority
612,1,1,3,1,2,2,1,3, priority
613,1,1,3,1,2,2,1,2, not_recom
614,1,1,3,1,2,2,2,1, priority
615,1,1,3,1,2,2,2,3, priority
616,1,1,3,1,2,2,2,2, not_recom
617,1,1,3,1,2,2,3,1, priority
618,1,1,3,1,2,2,3,3, priority
619,1,1,3,1,2,2,3,2, not_recom
620,1,1,3,1,3,1,1,1, priority
621,1,1,3,1,3,1,1,3, priority
622,1,1,3,1,3,1,411,2, not_recom
623,1,1,3,1,3,1,2,1, priority
624,1,1,3,1,3,1,2,2, not_recom
625,1,5,3,1,2,2,2,1, spec_prior
626,1,1,3,1,3,1,3,3, priority
627,1,1,3,1,3,1,3,2, not_recom
628,1,1,3,1,3,2,1,1, priority
629,1,1,3,1,3,2,1,3, priority
630,1,1,3,1,3,2,1,2, not_recom
631,1,1,3,1,3,2,2,1, priority
632,1,1,3,1,3,2,2,3, priority
633,1,1,3,1,3,2,2,2, not_recom
634,1,1,3,1,3,2,3,1, priority
635,1,1,3,1,3,2,3,3, priority
636,1,1,3,1,3,2,3,2, not_recom
