Parents, Has_nurs, Form, Children, Housing, Finance, Social, Health,Class
1,1,1,10,1,1,3,1, priority
1,1,1,10,1,1,3,3, priority
1,1,1,10,1,1,3,2, not_recom
1,1,1,10,1,2,1,1, priority
1,1,1,10,1,2,1,2, not_recom
1,1,1,10,1,2,2,3, priority
1,1,1,10,1,2,2,2, not_recom
1,1,1,10,1,2,3,1, priority
1,1,1,10,1,2,3,3, priority
1,1,1,10,1,2,3,2, not_recom
1,1,1,10,2,1,1,1, priority
1,1,1,10,2,1,1,3, priority
1,1,1,10,2,1,1,2, not_recom
1,1,1,10,2,1,2,1, priority
1,1,1,10,2,1,2,3, priority
1,1,1,10,2,1,2,2, not_recom
1,1,1,10,2,1,3,1, priority
1,1,1,10,2,1,3,2, not_recom
1,1,1,10,2,2,1,1, priority
1,1,1,10,2,2,1,3, priority
1,1,1,10,2,2,1,2, not_recom
1,1,1,10,2,2,2,3, priority
1,1,1,10,2,2,2,2, not_recom
1,1,1,10,2,2,3,1, priority
1,1,1,10,2,2,3,3, priority
1,1,1,10,2,2,3,2, not_recom
1,1,1,10,3,1,1,1, priority
1,1,1,10,3,1,1,2, not_recom
1,1,1,10,3,1,2,1, priority
1,1,1,10,3,1,2,3, priority
1,1,1,10,3,1,2,2, not_recom
1,1,1,10,3,1,3,1, priority
1,1,1,10,3,1,3,3, priority
1,1,1,10,3,1,3,2, not_recom
1,1,1,10,3,2,1,1, priority
1,1,1,10,3,2,1,3, priority
1,1,1,10,3,2,1,2, not_recom
1,1,1,10,3,2,2,1, priority
1,1,1,10,3,2,2,3, priority
1,1,1,10,3,2,2,2, not_recom
1,1,1,10,3,2,3,1, priority
1,1,1,10,3,2,3,3, priority
1,1,1,10,3,2,3,2, not_recom
1,1,5,1,1,1,1,1, very_recom
1,1,5,1,1,1,1,3, priority
1,1,5,1,1,1,1,2, not_recom
1,1,5,1,1,1,2,1, very_recom
1,1,5,1,1,1,2,3, priority
1,1,5,1,1,1,2,2, not_recom
1,1,5,1,1,1,3,1, priority
1,1,5,1,1,1,3,3, priority
1,1,5,1,1,1,3,2, not_recom
1,1,5,1,1,2,1,1, very_recom
1,1,5,1,1,2,1,3, priority
1,1,5,1,1,2,1,2, not_recom
1,1,5,1,1,2,2,3, priority
1,1,5,1,1,2,2,2, not_recom
1,1,5,1,1,2,3,1, priority
1,1,5,1,1,2,3,3, priority
1,1,5,1,1,2,3,2, not_recom
1,1,5,1,2,1,1,3, priority
1,1,5,1,2,1,1,2, not_recom
1,1,5,1,2,1,2,1, very_recom
1,1,5,1,2,1,2,3, priority
1,1,5,1,2,1,2,2, not_recom
1,1,5,1,2,1,3,3, priority
1,1,5,1,2,1,3,2, not_recom
1,1,5,1,2,2,1,1, very_recom
1,1,5,1,2,2,1,3, priority
1,1,5,1,2,2,1,2, not_recom
1,1,5,1,2,2,2,1, very_recom
1,1,5,1,2,2,2,3, priority
1,1,5,1,2,2,2,2, not_recom
1,1,5,1,2,2,3,1, priority
1,1,5,1,3,1,1,1, priority
1,1,5,1,3,1,1,3, priority
1,1,5,1,3,1,1,2, not_recom
1,1,5,1,3,1,2,1, priority
1,1,5,1,3,1,2,3, priority
1,1,5,1,3,1,2,2, not_recom
1,1,5,1,3,1,3,1, priority
1,1,5,1,3,1,3,3, priority
1,1,5,1,3,2,1,1, priority
1,1,5,1,3,2,1,3, priority
1,1,5,1,3,2,1,2, not_recom
1,1,5,1,3,2,2,1, priority
1,1,5,1,3,2,2,3, priority
1,1,5,1,3,2,2,2, not_recom
1,1,5,1,3,2,3,1, priority
1,1,5,1,3,2,3,3, priority
1,1,5,1,3,2,3,2, not_recom
1,1,5,2,1,1,1,1, very_recom
1,1,5,2,1,1,1,3, priority
1,1,5,2,1,1,1,2, not_recom
1,1,5,2,1,1,2,1, very_recom
1,1,5,2,1,1,2,3, priority
1,1,5,2,1,1,2,2, not_recom
1,1,5,2,1,1,3,1, priority
1,1,5,2,1,1,3,3, priority
1,1,5,2,1,1,3,2, not_recom
1,1,5,2,1,2,1,1, very_recom
1,1,5,2,1,2,1,3, priority
1,1,5,2,1,2,1,2, not_recom
1,1,5,2,1,2,2,1, very_recom
1,1,5,2,1,2,2,3, priority
1,1,5,2,1,2,2,2, not_recom
1,1,5,2,1,2,3,1, priority
1,1,5,2,1,2,3,3, priority
1,1,5,2,1,2,3,2, not_recom
1,1,5,2,2,1,1,1, very_recom
1,1,5,2,2,1,1,3, priority
1,1,5,2,2,1,1,2, not_recom
1,1,5,2,2,1,2,1, very_recom
1,1,5,2,2,1,2,3, priority
1,1,5,2,2,1,2,2, not_recom
1,1,5,2,2,1,3,1, priority
1,1,5,2,2,1,3,3, priority
1,1,5,2,2,1,3,2, not_recom
1,1,5,2,2,2,1,1, very_recom
1,1,5,2,2,2,1,2, not_recom
1,1,5,2,2,2,2,1, very_recom
1,1,5,2,2,2,2,3, priority
1,1,5,2,2,2,2,2, not_recom
1,1,5,2,2,2,3,1, priority
1,1,5,2,2,2,3,3, priority
1,1,5,2,2,2,3,2, not_recom
1,1,5,2,3,1,1,1, priority
1,1,5,2,3,1,1,3, priority
1,1,5,2,3,1,1,2, not_recom
1,1,5,2,3,1,2,1, priority
1,1,5,2,3,1,2,3, priority
1,1,5,2,3,1,2,2, not_recom
1,1,5,2,3,1,3,1, priority
1,1,5,2,3,1,3,3, priority
1,1,5,2,3,2,1,1, priority
1,1,5,2,3,2,1,3, priority
1,1,5,2,3,2,1,2, not_recom
1,1,5,2,3,2,2,1, priority
1,1,5,2,3,2,2,3, priority
1,1,5,2,3,2,2,2, not_recom
1,1,5,2,3,2,3,1, priority
1,1,5,2,3,2,3,3, priority
1,1,5,2,3,2,3,2, not_recom
1,1,5,3,1,1,1,1, very_recom
1,1,5,3,1,1,1,3, priority
1,1,5,3,1,1,1,2, not_recom
1,1,5,3,1,1,2,1, very_recom
1,1,5,3,1,1,2,3, priority
1,1,5,3,1,1,2,2, not_recom
1,1,5,3,1,1,3,1, priority
1,1,5,3,1,1,3,3, priority
1,1,5,3,1,1,3,2, not_recom
1,1,5,3,1,2,1,1, priority
1,1,5,3,1,2,1,3, priority
1,1,5,3,1,2,1,2, not_recom
1,1,5,3,1,2,2,1, priority
1,1,5,3,1,2,2,3, priority
1,1,5,3,1,2,2,2, not_recom
1,1,5,3,1,2,3,1, priority
1,1,5,3,1,2,3,3, priority
1,1,5,3,1,2,3,2, not_recom
1,1,5,3,2,1,1,1, priority
1,1,5,3,2,1,1,3, priority
1,1,5,3,2,1,1,2, not_recom
1,1,5,3,2,1,2,1, priority
1,1,5,3,2,1,2,3, priority
1,1,5,3,2,1,3,1, priority
1,1,5,3,2,1,3,3, priority
1,1,5,3,2,1,3,2, not_recom
1,1,5,3,2,2,1,1, priority
1,1,5,3,2,2,1,3, priority
1,1,5,3,2,2,1,2, not_recom
1,1,5,3,2,2,2,1, priority
1,1,5,3,2,2,2,3, priority
1,1,5,3,2,2,2,2, not_recom
1,1,5,3,2,2,3,1, priority
1,1,5,3,2,2,3,3, priority
1,1,5,3,2,2,3,2, not_recom
1,1,5,3,3,1,1,1, priority
1,1,5,3,3,1,1,3, priority
1,1,5,3,3,1,1,2, not_recom
1,1,5,3,3,1,2,1, priority
1,1,5,3,3,1,2,2, not_recom
1,1,5,3,3,1,3,1, priority
1,1,5,3,3,1,3,3, priority
1,1,5,3,3,1,3,2, not_recom
1,1,5,3,3,2,1,1, priority
1,1,5,3,3,2,1,3, priority
1,1,5,3,3,2,1,2, not_recom
1,1,5,3,3,2,2,1, priority
1,1,5,3,3,2,2,3, priority
1,1,5,3,3,2,2,2, not_recom
1,1,5,3,3,2,3,1, priority
1,1,5,3,3,2,3,2, not_recom
1,1,5,10,1,1,1,1, very_recom
1,1,5,10,1,1,1,3, priority
1,1,5,10,1,1,2,1, very_recom
1,1,5,10,1,1,2,3, priority
1,1,5,10,1,1,3,1, priority
1,1,5,10,1,1,3,3, priority
1,1,5,10,1,1,3,2, not_recom
1,1,5,10,1,2,1,3, priority
1,1,5,10,1,2,1,2, not_recom
1,1,5,10,1,2,2,1, priority
1,1,5,10,1,2,2,3, priority
1,1,5,10,1,2,2,2, not_recom
1,1,5,10,1,2,3,1, priority
1,1,5,10,1,2,3,3, priority
1,1,5,10,1,2,3,2, not_recom
1,1,5,10,2,1,1,1, priority
1,1,5,10,2,1,1,3, priority
1,1,5,10,2,1,1,2, not_recom
1,1,5,10,2,1,2,1, priority
1,1,5,10,2,1,2,3, priority
1,1,5,10,2,1,2,2, not_recom
1,1,5,10,2,1,3,1, priority
1,1,5,10,2,1,3,3, priority
1,1,5,10,2,1,3,2, not_recom
1,1,5,10,2,2,1,1, priority
1,1,5,10,2,2,1,3, priority
1,1,5,10,2,2,1,2, not_recom
1,1,5,10,2,2,2,1, priority
1,1,5,10,2,2,2,3, priority
1,1,5,10,2,2,3,1, priority
1,1,5,10,2,2,3,3, priority
1,1,5,10,2,2,3,2, not_recom
1,1,5,10,3,1,1,1, priority
1,1,5,10,3,1,1,3, priority
1,1,5,10,3,1,1,2, not_recom
1,1,5,10,3,1,2,1, priority
1,1,5,10,3,1,2,3, priority
1,1,5,10,3,1,3,1, priority
1,1,5,10,3,1,3,3, priority
1,1,5,10,3,1,3,2, not_recom
1,1,5,10,3,2,1,1, priority
1,1,5,10,3,2,1,3, priority
1,1,5,10,3,2,1,2, not_recom
1,1,5,10,3,2,2,1, priority
1,1,5,10,3,2,2,3, priority
1,1,5,10,3,2,3,3, priority
1,1,5,10,3,2,3,2, not_recom
1,1,2,1,1,1,1,1, very_recom
1,1,2,1,1,1,1,2, not_recom
1,1,2,1,1,1,2,1, very_recom
1,1,2,1,1,1,2,3, priority
1,1,2,1,1,1,2,2, not_recom
1,1,2,1,1,1,3,1, priority
1,1,2,1,1,1,3,3, priority
1,1,2,1,1,1,3,2, not_recom
1,1,2,1,1,2,1,1, very_recom
1,1,2,1,1,2,1,3, priority
1,1,2,1,1,2,1,2, not_recom
1,1,2,1,1,2,2,1, very_recom
1,1,2,1,1,2,2,3, priority
1,1,2,1,1,2,2,2, not_recom
1,1,2,1,1,2,3,1, priority
1,1,2,1,1,2,3,3, priority
1,1,2,1,1,2,3,2, not_recom
1,1,2,1,2,1,1,1, very_recom
1,1,2,1,2,1,1,3, priority
1,1,2,1,2,1,1,2, not_recom
1,1,2,1,2,1,2,1, very_recom
1,1,2,1,2,1,2,3, priority
1,1,2,1,2,1,2,2, not_recom
1,1,2,1,2,1,3,3, priority
1,1,2,1,2,2,1,1, very_recom
1,1,2,1,2,2,1,3, priority
1,1,2,1,2,2,1,2, not_recom
1,1,2,1,2,2,2,1, very_recom
1,1,2,1,2,2,2,3, priority
1,1,2,1,2,2,2,2, not_recom
1,1,2,1,2,2,3,1, priority
1,1,2,1,2,2,3,3, priority
1,1,2,1,2,2,3,2, not_recom
1,1,2,1,3,1,1,1, priority
1,1,2,1,3,1,1,3, priority
1,1,2,1,3,1,1,2, not_recom
1,1,2,1,3,1,2,1, priority
1,1,2,1,3,1,2,3, priority
1,1,2,1,3,1,2,2, not_recom
1,1,2,1,3,1,3,1, priority
1,1,2,1,3,1,3,3, priority
1,1,2,1,3,2,1,1, priority
1,1,2,1,3,2,1,3, priority
1,1,2,1,3,2,1,2, not_recom
1,1,2,1,3,2,2,1, priority
1,1,2,1,3,2,2,2, not_recom
1,1,2,1,3,2,3,1, priority
1,1,2,1,3,2,3,3, priority
1,1,2,1,3,2,3,2, not_recom
1,1,2,2,1,1,1,1, very_recom
1,1,2,2,1,1,1,3, priority
1,1,2,2,1,1,1,2, not_recom
1,1,2,2,1,1,2,1, very_recom
1,1,2,2,1,1,2,3, priority
1,1,2,2,1,1,2,2, not_recom
1,1,2,2,1,1,3,1, priority
1,1,2,2,1,1,3,3, priority
1,1,2,2,1,1,3,2, not_recom
1,1,2,2,1,2,1,3, priority
1,1,2,2,1,2,1,2, not_recom
1,1,2,2,1,2,2,1, priority
1,1,2,2,1,2,2,3, priority
1,1,2,2,1,2,2,2, not_recom
1,1,2,2,1,2,3,1, priority
1,1,2,2,1,2,3,3, priority
1,1,2,2,1,2,3,2, not_recom
1,1,2,2,2,1,1,1, priority
1,1,2,2,2,1,1,3, priority
1,1,2,2,2,1,1,2, not_recom
1,1,2,2,2,1,2,1, priority
1,1,2,2,2,1,2,3, priority
1,1,2,2,2,1,2,2, not_recom
1,1,2,2,2,1,3,1, priority
1,1,2,2,2,2,1,1, priority
1,1,2,2,2,2,1,3, priority
1,1,2,2,2,2,2,1, priority
1,1,2,2,2,2,2,3, priority
1,1,2,2,2,2,2,2, not_recom
1,1,2,2,2,2,3,1, priority
1,1,2,2,2,2,3,3, priority
1,1,2,2,2,2,3,2, not_recom
1,1,2,2,3,1,1,3, priority
1,1,2,2,3,1,1,2, not_recom
1,1,2,2,3,1,2,1, priority
1,1,2,2,3,1,2,3, priority
1,1,2,2,3,1,2,2, not_recom
1,1,2,2,3,1,3,1, priority
1,1,2,2,3,1,3,3, priority
1,1,2,2,3,1,3,2, not_recom
1,1,2,2,3,2,1,1, priority
1,1,2,2,3,2,1,3, priority
1,1,2,2,3,2,1,2, not_recom
1,1,2,2,3,2,2,1, priority
1,1,2,2,3,2,2,3, priority
1,1,2,2,3,2,2,2, not_recom
1,1,2,2,3,2,3,3, priority
1,1,2,2,3,2,3,2, not_recom
1,1,2,3,1,1,1,1, very_recom
1,1,2,3,1,1,1,3, priority
1,1,2,3,1,1,1,2, not_recom
1,1,2,3,1,1,2,1, very_recom
1,1,2,3,1,1,2,3, priority
1,1,2,3,1,1,2,2, not_recom
1,1,2,3,1,1,3,1, priority
1,1,2,3,1,1,3,3, priority
1,1,2,3,1,1,3,2, not_recom
1,1,2,3,1,2,1,1, priority
1,1,2,3,1,2,1,3, priority
1,1,2,3,1,2,1,2, not_recom
1,1,2,3,1,2,2,1, priority
1,1,2,3,1,2,2,3, priority
1,1,2,3,1,2,2,2, not_recom
1,1,2,3,1,2,3,1, priority
1,1,2,3,1,2,3,3, priority
1,1,2,3,1,2,3,2, not_recom
1,1,2,3,2,1,1,1, priority
1,1,2,3,2,1,1,3, priority
1,1,2,3,2,1,2,1, priority
1,1,2,3,2,1,2,3, priority
1,1,2,3,2,1,2,2, not_recom
1,1,2,3,2,1,3,1, priority
1,1,2,3,2,1,3,2, not_recom
1,1,2,3,2,2,1,1, priority
1,1,2,3,2,2,1,3, priority
1,1,2,3,2,2,1,2, not_recom
1,1,2,3,2,2,2,1, priority
1,1,2,3,2,2,2,3, priority
1,1,2,3,2,2,2,2, not_recom
1,1,2,3,2,2,3,1, priority
1,1,2,3,2,2,3,3, priority
1,1,2,3,3,1,1,1, priority
1,1,2,3,3,1,1,3, priority
1,1,2,3,3,1,1,2, not_recom
1,1,2,3,3,1,2,1, priority
1,1,2,3,3,1,2,3, priority
1,1,2,3,3,1,2,2, not_recom
1,1,2,3,3,1,3,1, priority
1,1,2,3,3,1,3,3, priority
1,1,2,3,3,2,1,1, priority
1,1,2,3,3,2,1,3, priority
1,1,2,3,3,2,1,2, not_recom
1,1,2,3,3,2,2,1, priority
1,1,2,3,3,2,2,3, priority
1,1,2,3,3,2,2,2, not_recom
1,1,2,3,3,2,3,1, priority
1,1,2,3,3,2,3,3, priority
1,1,2,3,3,2,3,2, not_recom
1,1,2,10,1,1,1,1, very_recom
1,1,2,10,1,1,1,3, priority
1,1,2,10,1,1,1,2, not_recom
1,1,2,10,1,1,2,1, very_recom
1,1,2,10,1,1,2,3, priority
1,1,2,10,1,1,2,2, not_recom
1,1,2,10,1,1,3,3, priority
1,1,2,10,1,1,3,2, not_recom
1,1,2,10,1,2,1,1, priority
1,1,2,10,1,2,1,3, priority
1,1,2,10,1,2,2,1, priority
1,1,2,10,1,2,2,3, priority
1,1,2,10,1,2,2,2, not_recom
1,1,2,10,1,2,3,1, priority
1,1,2,10,1,2,3,3, priority
1,1,2,10,1,2,3,2, not_recom
1,1,2,10,2,1,1,1, priority
1,1,2,10,2,1,1,3, priority
1,1,2,10,2,1,1,2, not_recom
1,1,2,10,2,1,2,1, priority
1,1,2,10,2,1,2,2, not_recom
1,1,2,10,2,1,3,1, priority
1,1,2,10,2,1,3,3, priority
1,1,2,10,2,1,3,2, not_recom
1,1,2,10,2,2,1,1, priority
1,1,2,10,2,2,1,3, priority
1,1,2,10,2,2,1,2, not_recom
1,1,2,10,2,2,2,1, priority
1,1,2,10,2,2,2,3, priority
1,1,2,10,2,2,2,2, not_recom
1,1,2,10,2,2,3,1, priority
1,1,2,10,2,2,3,3, priority
1,1,2,10,2,2,3,2, not_recom
1,1,2,10,3,1,1,1, priority
1,1,2,10,3,1,1,3, priority
1,1,2,10,3,1,2,1, priority
1,1,2,10,3,1,2,3, priority
1,1,2,10,3,1,2,2, not_recom
1,1,2,10,3,1,3,1, priority
1,1,2,10,3,1,3,3, priority
1,1,2,10,3,1,3,2, not_recom
1,1,2,10,3,2,1,1, priority
1,1,2,10,3,2,1,3, priority
1,1,2,10,3,2,2,3, priority
1,1,2,10,3,2,2,2, not_recom
1,1,2,10,3,2,3,1, priority
1,1,2,10,3,2,3,3, priority
1,1,2,10,3,2,3,2, not_recom
1,1,3,1,1,1,1,1, very_recom
1,1,3,1,1,1,1,3, priority
1,1,3,1,1,1,1,2, not_recom
1,1,3,1,1,1,2,1, very_recom
1,1,3,1,1,1,2,3, priority
1,1,3,1,1,1,2,2, not_recom
1,1,3,1,1,1,3,1, priority
1,1,3,1,1,1,3,3, priority
1,1,3,1,1,2,1,1, priority
1,1,3,1,1,2,1,3, priority
1,1,3,1,1,2,1,2, not_recom
1,1,3,1,1,2,2,1, priority
1,1,3,1,1,2,2,3, priority
1,1,3,1,1,2,2,2, not_recom
1,1,3,1,1,2,3,1, priority
1,1,3,1,1,2,3,3, priority
1,1,3,1,1,2,3,2, not_recom
1,1,3,1,2,1,1,1, priority
1,1,3,1,2,1,1,3, priority
1,1,3,1,2,1,1,2, not_recom
1,1,3,1,2,1,2,1, priority
1,1,3,1,2,1,2,3, priority
1,1,3,1,2,1,3,1, priority
1,1,3,1,2,1,3,3, priority
1,1,3,1,2,1,3,2, not_recom
1,1,3,1,2,2,1,1, priority
1,1,3,1,2,2,1,3, priority
1,1,3,1,2,2,1,2, not_recom
1,1,3,1,2,2,2,1, priority
1,1,3,1,2,2,2,3, priority
1,1,3,1,2,2,2,2, not_recom
1,1,3,1,2,2,3,1, priority
1,1,3,1,2,2,3,3, priority
1,1,3,1,2,2,3,2, not_recom
1,1,3,1,3,1,1,1, priority
1,1,3,1,3,1,1,3, priority
1,1,3,1,3,1,1,2, not_recom
1,1,3,1,3,1,2,1, priority
1,1,3,1,3,1,2,2, not_recom
1,1,3,1,3,1,3,1, priority
1,1,3,1,3,1,3,3, priority
1,1,3,1,3,1,3,2, not_recom
1,1,3,1,3,2,1,1, priority
1,1,3,1,3,2,1,3, priority
1,1,3,1,3,2,1,2, not_recom
1,1,3,1,3,2,2,1, priority
1,1,3,1,3,2,2,3, priority
1,1,3,1,3,2,2,2, not_recom
1,1,3,1,3,2,3,1, priority
1,1,3,1,3,2,3,3, priority
1,1,3,1,3,2,3,2, not_recom
1,1,3,2,1,1,1,1, very_recom
1,1,3,2,1,1,1,3, priority
1,1,3,2,1,1,1,2, not_recom
1,1,3,2,1,1,2,1, very_recom
1,1,3,2,1,1,2,3, priority
1,1,3,2,1,1,2,2, not_recom
1,1,3,2,1,1,3,1, priority
1,1,3,2,1,1,3,3, priority
1,1,3,2,1,1,3,2, not_recom
1,1,3,2,1,2,1,1, priority
1,1,3,2,1,2,1,3, priority
1,1,3,2,1,2,1,2, not_recom
1,1,3,2,1,2,2,3, priority
1,1,3,2,1,2,2,2, not_recom
1,1,3,2,1,2,3,1, priority
1,1,3,2,1,2,3,2, not_recom
1,1,3,2,2,1,1,3, priority
1,1,3,2,2,1,1,2, not_recom
1,1,3,2,2,1,2,1, priority
1,1,3,2,2,1,2,3, priority
1,1,3,2,2,1,2,2, not_recom
1,1,3,2,2,1,3,1, priority
1,1,3,2,2,1,3,3, priority
1,1,3,2,2,1,3,2, not_recom
1,1,3,2,2,2,1,1, priority
1,1,3,2,2,2,1,3, priority
1,1,3,2,2,2,1,2, not_recom
1,1,3,2,2,2,2,1, priority
1,1,3,2,2,2,2,3, priority
1,1,3,2,2,2,2,2, not_recom
1,1,3,2,2,2,3,1, priority
1,1,3,2,2,2,3,3, priority
1,1,3,2,2,2,3,2, not_recom
1,1,3,2,3,1,1,1, priority
1,1,3,2,3,1,1,2, not_recom
1,1,3,2,3,1,2,1, priority
1,1,3,2,3,1,2,3, priority
1,1,3,2,3,1,2,2, not_recom
1,1,3,2,3,1,3,1, priority
1,1,3,2,3,1,3,3, priority
1,1,3,2,3,1,3,2, not_recom
1,1,3,2,3,2,1,1, priority
1,1,3,2,3,2,1,3, priority
1,1,3,2,3,2,1,2, not_recom
1,1,3,2,3,2,2,1, priority
1,1,3,2,3,2,2,3, priority
1,1,3,2,3,2,2,2, not_recom
1,1,3,2,3,2,3,1, priority
1,1,3,2,3,2,3,3, priority
1,1,3,3,1,1,1,1, very_recom
1,1,3,3,1,1,1,3, priority
1,1,3,3,1,1,1,2, not_recom
1,1,3,3,1,1,2,1, very_recom
1,1,3,3,1,1,2,2, not_recom
1,1,3,3,1,1,3,1, priority
1,1,3,3,1,1,3,3, priority
1,1,3,3,1,2,1,1, priority
1,1,3,3,1,2,1,3, priority
1,1,3,3,1,2,1,2, not_recom
1,1,3,3,1,2,2,1, priority
1,1,3,3,1,2,2,3, priority
1,1,3,3,1,2,3,1, priority
1,1,3,3,1,2,3,3, priority
1,1,3,3,1,2,3,2, not_recom
1,1,3,3,2,1,1,1, priority
1,1,3,3,2,1,1,3, priority
