,Cap-shape, Cap-surface, Cap-color, Bruises, Odor, Gill-attachment, Gill-spacing, Gill-size, Gill-color, Stalk-shape, Stalk-root, Stalk-surface-above-ring, Stalk-surface-below-ring, Stalk-color-above-ring, Stalk-color-below-ring, Veil-type, Veil-color, Ring-number, Ring-type, Spore-print-color, Population, Habitat,Class
26,0,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
27,0,1,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
28,3,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,4,0,e
29,0,0,1,1,1,0,1,0,1,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
30,1,0,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
31,0,1,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
32,0,1,1,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
33,-2,1,2,-3,-4,-1,-3,-3,-5,2,-4.0,-4,3,0,1,3,4,-6,-5,-1,-4,-4,e
34,1,1,1,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
35,0,2,1,1,2,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
36,2,2,3,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,3,0,e
37,0,1,0,1,0,0,0,0,2,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
38,0,2,1,1,1,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
39,1,0,1,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
40,1,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
41,0,1,1,1,2,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,0,4,4,e
42,0,2,0,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,0,4,0,e
43,0,1,2,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,1,3,1,p
44,-4,4,4,4,3,-5,0,3,2,2,-7.0,5,1,-2,-4,-2,0,5,3,-3,-2,0,e
45,0,1,2,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
46,0,1,1,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
47,0,0,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
48,0,1,1,1,2,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,1,0,4,e
49,3,1,1,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,0,4,e
50,0,1,0,1,1,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,0,1,e
51,0,0,2,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
52,1,0,2,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
53,0,1,0,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
54,0,0,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,3,0,p
55,-2,-5,2,-4,-7,4,-1,-5,1,-4,0.0,-4,-3,-2,4,3,0,-3,-1,-1,-1,2,e
56,3,2,3,0,3,0,1,1,1,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
57,1,0,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
58,0,0,1,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
59,0,1,0,1,1,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,0,4,4,e
60,2,2,3,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,3,0,e
61,1,1,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
62,1,0,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
63,1,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
64,1,1,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
65,3,0,0,0,3,0,1,1,0,1,0.0,2,2,0,0,1,0,2,1,0,2,1,e
66,0,-2,-3,-3,4,2,1,3,-2,1,0.0,-3,3,-1,1,-3,1,0,-2,-5,-5,-2,e
67,3,1,1,1,1,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
68,0,1,1,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
69,0,2,3,0,3,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,1,3,0,e
70,3,2,1,1,2,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
71,1,1,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
72,3,2,1,1,2,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
73,0,1,0,1,1,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,0,0,4,e
74,1,0,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
75,3,0,1,1,2,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
76,0,0,2,1,2,0,1,0,1,1,2.0,2,2,0,0,1,0,2,0,4,3,3,e
77,-2,-2,-1,1,1,4,3,-2,3,-5,-1.0,-3,1,-1,1,-1,4,5,-6,-3,0,5,e
78,0,1,0,1,0,0,0,0,2,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
79,3,1,0,1,1,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,1,4,1,e
80,0,0,0,0,3,0,1,1,0,1,0.0,0,2,0,0,1,0,2,1,1,0,1,e
81,0,1,2,1,0,0,0,0,2,0,0.0,2,2,0,0,1,0,2,0,0,0,1,p
82,3,2,3,0,3,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
83,0,2,3,0,3,0,1,1,1,1,0.0,2,2,0,0,1,0,2,1,1,0,1,e
84,0,1,1,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,0,1,e
85,0,0,0,0,3,0,1,1,0,1,0.0,2,2,0,0,1,0,2,1,0,0,1,e
86,1,0,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
87,0,0,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
88,5,2,-2,0,-1,0,4,0,1,-7,0.0,4,5,-2,0,-2,-2,-1,2,0,0,2,e
89,2,2,0,0,3,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,3,0,e
90,0,2,0,0,3,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
91,1,0,2,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
92,0,1,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
93,0,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
94,0,0,0,0,3,0,1,1,1,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
95,0,0,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
96,3,1,0,1,2,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
97,0,0,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
98,1,0,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
99,0,1,-5,-1,-1,2,-1,2,1,-1,0.0,2,-3,5,4,0,4,0,-1,-3,-4,1,e
100,0,2,0,0,3,0,1,1,10,1,0.0,0,2,0,0,1,0,2,1,0,0,1,e
101,1,0,1,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
102,3,1,1,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
103,0,1,1,1,1,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,0,4,4,e
104,1,1,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
105,0,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
106,0,1,1,1,1,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,1,4,1,e
107,1,1,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
108,1,1,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
109,0,0,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
110,2,0,-3,2,-1,-2,2,3,5,-2,1.0,0,0,0,-2,4,-1,-3,0,2,-5,-1,e
111,2,2,3,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,0,4,0,e
112,0,2,2,1,1,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,4,3,3,e
113,0,0,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
114,0,1,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
115,0,1,1,1,2,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
116,2,2,3,0,3,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
117,0,1,1,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,4,1,e
118,0,0,1,1,2,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,4,3,3,e
119,2,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
120,0,0,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,3,1,p
121,1,-2,2,3,-5,3,-1,-4,-5,-4,3.0,1,2,4,-1,-4,-3,1,0,-1,-2,-2,e
122,3,1,0,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,0,3,1,p
123,3,0,3,0,3,0,1,1,0,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
124,0,0,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
125,0,0,2,0,3,0,1,1,1,1,0.0,2,0,0,0,1,0,2,1,0,0,1,e
126,1,0,1,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
127,3,2,3,0,3,0,1,1,3,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
128,0,0,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
129,1,0,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
130,1,0,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
131,1,1,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
132,1,-1,2,2,3,-2,4,3,-3,1,0.0,-2,2,-4,-4,-6,0,2,4,-1,3,-6,e
133,0,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
134,3,0,2,1,1,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
135,0,1,2,1,0,0,0,0,2,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
136,3,2,2,1,2,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
137,0,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
138,0,0,0,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,1,3,1,p
139,1,0,1,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
140,0,1,0,1,1,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,4,4,e
141,1,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
142,2,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,3,0,e
143,5,-3,-1,2,-5,4,-2,4,0,2,2.0,-6,-3,2,1,-1,-1,1,-1,-2,-3,0,e
144,0,1,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
145,0,2,3,0,3,0,1,1,0,1,0.0,0,0,0,0,1,0,2,1,0,0,1,e
146,3,2,2,0,3,0,1,1,0,1,0.0,2,0,0,0,1,0,2,1,1,2,1,e
147,0,1,1,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
148,1,0,1,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
149,1,1,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
150,0,1,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
151,0,0,0,0,3,0,1,1,10,1,0.0,0,2,0,0,1,0,2,1,1,2,1,e
152,0,1,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
153,2,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,3,0,e
154,1,2,-3,-4,0,4,-1,0,0,5,-4.0,-2,-2,2,4,1,-4,1,-4,-1,1,2,e
155,0,1,0,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,0,1,e
156,1,1,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
157,0,1,2,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
158,1,1,2,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
159,1,0,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
160,1,0,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
161,1,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
162,0,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
163,3,1,0,1,2,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,1,4,1,e
164,0,1,2,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
165,0,-4,0,-4,-4,-3,0,0,2,0,-1.0,1,-1,1,-3,-2,-1,-3,-3,-3,-3,3,e
166,1,0,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
167,1,0,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
168,0,1,0,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,4,1,e
169,1,0,2,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
170,0,2,3,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
171,1,0,1,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
172,0,2,1,1,2,0,1,0,1,1,2.0,2,2,0,0,1,0,2,0,4,3,3,e
173,1,1,1,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
174,3,1,1,1,2,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
175,1,1,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
176,2,-1,-3,4,0,0,-2,1,4,2,2.0,-1,5,-5,-2,-6,-4,-1,-3,-2,2,-4,e
177,1,1,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
178,0,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
179,1,0,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
180,0,1,2,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
181,2,2,0,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
182,3,2,0,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,0,3,0,e
183,0,0,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
184,3,1,0,1,1,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,0,0,4,e
185,0,1,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,0,1,p
186,1,0,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
187,4,-5,3,-1,-1,-4,5,2,2,-2,1.0,2,0,-3,3,2,0,-1,-2,-2,-2,2,e
188,1,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
189,0,1,0,1,1,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,1,4,4,e
190,0,2,2,0,3,0,1,1,10,1,0.0,2,0,0,0,1,0,2,1,0,0,1,e
191,0,0,2,1,2,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
192,1,0,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
193,3,0,1,1,1,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
194,0,0,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
195,3,2,3,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
196,1,0,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
197,0,0,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
198,-7,5,0,-2,-1,-1,1,-3,-2,-1,-4.0,2,0,0,-4,1,0,3,-1,0,0,-1,e
199,3,0,2,1,1,0,1,0,1,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
200,0,1,1,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
201,1,0,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
202,0,0,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
203,0,2,2,0,3,0,1,1,3,1,0.0,0,2,0,0,1,0,2,1,0,0,1,e
204,3,1,0,1,2,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,0,4,4,e
205,0,0,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
206,1,0,2,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
207,1,0,2,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
208,1,1,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
209,1,5,1,-1,1,0,0,5,2,-3,0.0,-1,-1,-4,4,1,-1,-2,-5,-1,2,5,e
210,0,0,1,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
211,1,0,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
212,0,2,1,1,1,0,1,0,1,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
213,0,2,3,0,3,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
214,3,1,1,1,1,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
215,1,0,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
216,0,0,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
217,0,1,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
218,0,1,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
219,2,2,3,0,3,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,1,3,0,e
220,-4,2,5,2,2,-4,-1,1,5,-1,1.0,-1,2,-2,-1,-1,2,-1,-2,4,1,2,e
221,0,0,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,0,1,p
222,0,1,1,1,1,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
223,3,2,2,1,1,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
224,0,1,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
225,1,1,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
226,0,0,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
227,0,0,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
228,0,1,0,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,0,3,0,p
229,1,0,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
230,0,2,3,0,3,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,0,4,0,e
231,-2,0,-3,-1,1,-1,2,-2,2,1,0.0,0,-5,-2,-6,-5,1,2,-4,-1,-2,-4,p
232,0,1,1,1,2,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,1,4,4,e
233,3,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,3,0,e
234,1,0,2,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
235,0,2,2,1,2,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
236,0,1,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
237,1,1,1,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
238,0,1,1,1,2,0,0,1,1,0,3.0,2,3,0,0,1,0,2,0,0,0,1,e
239,3,1,1,1,1,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,0,0,4,e
240,3,1,1,1,1,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,4,4,e
241,0,0,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,0,1,e
242,5,2,1,-1,0,1,-5,2,-6,-3,-1.0,2,0,1,-3,1,3,1,-4,1,-2,-2,e
243,0,0,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,0,3,0,p
244,3,2,2,1,1,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,4,3,3,e
245,0,0,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
246,0,0,2,1,2,0,1,0,10,1,2.0,2,2,0,0,1,0,2,0,4,3,3,e
247,0,1,2,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
248,3,1,1,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,0,4,4,e
249,0,0,0,0,3,0,1,1,10,1,0.0,0,2,0,0,1,0,2,1,0,0,1,e
250,3,1,1,1,1,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,1,4,1,e
251,0,0,0,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,1,0,1,p
252,2,2,0,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,1,3,0,e
253,3,1,0,5,0,4,-1,4,-4,-1,0.0,2,2,-1,5,5,-3,-1,5,3,-7,2,e
254,1,0,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
255,1,1,2,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
256,3,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,3,0,e
257,0,0,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
258,1,1,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
259,1,1,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
260,3,1,0,1,2,0,0,1,2,0,3.0,2,3,0,0,1,0,2,0,1,0,1,e
261,0,1,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,3,1,p
262,0,0,2,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
263,0,1,2,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
264,4,0,4,5,-4,-1,-2,0,4,4,2.0,-4,-3,4,3,1,4,2,2,2,-4,3,e
265,3,2,3,0,3,0,0,0,9,0,0.0,2,2,0,0,1,0,2,0,0,3,0,e
266,3,0,3,0,3,0,1,1,10,1,0.0,2,2,0,0,1,0,2,1,0,2,1,e
267,0,1,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
